Format Version,1.23,Take Name,Take 2023-06-14 02.04.57 PM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-06-14 02.04.57.740 PM,Capture Start Frame,5511006,Total Frames in Take,1673,Total Exported Frames,1673,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","A6D69C80A9C11EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83","810716560AA711EEF196A13ACAB86A83"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.287526,42.812881,-0.115060,141.089920,47.194828,105.851486,31.581804,83.743637,-32.609104,141.860336,7.704064,236.266907
1,0.016667,-0.284355,42.809967,-0.112775,141.090805,47.192375,105.850555,21.634422,82.769112,-23.047617,141.936035,7.667178,236.219116
2,0.033333,-0.286702,42.812798,-0.116134,141.090286,47.194183,105.849670,34.518562,83.855423,-35.131042,141.857376,7.701707,236.299637
3,0.050000,-0.285086,42.816463,-0.115294,141.089508,47.193321,105.850204,34.521633,83.856018,-35.133556,141.860626,7.690513,236.292679
4,0.066667,-0.283836,42.808361,-0.111636,141.091095,47.191402,105.849792,34.523685,83.856232,-35.135765,141.860611,7.703446,236.266418
5,0.083333,-0.275621,42.817085,-0.117379,141.090363,47.194817,105.850288,34.527267,83.856766,-35.138824,141.861069,7.690764,236.292526
6,0.100000,-0.282792,42.812599,-0.111431,141.089264,47.193970,105.850388,34.537533,83.857170,-35.148907,141.856339,7.713768,236.273773
7,0.116667,-0.282644,42.808403,-0.111959,141.090820,47.191776,105.850220,34.539467,83.857498,-35.150978,141.860291,7.704638,236.267212
8,0.133333,-0.279204,42.812489,-0.117984,141.089203,47.193409,105.850540,34.549389,83.857826,-35.160728,141.857346,7.712129,236.274841
9,0.150000,-0.289590,42.816856,-0.119403,141.089645,47.195511,105.850555,34.552544,83.858330,-35.163368,141.861359,7.688910,236.291931
10,0.166667,-0.283068,42.805935,-0.109449,141.090912,47.192097,105.849663,34.562546,83.858734,-35.173229,141.857224,7.714024,236.274261
11,0.183333,-0.279975,42.815403,-0.119304,141.090103,47.194347,105.851028,28.202587,82.775879,-28.949644,141.925446,7.697817,236.227661
12,0.200000,-0.290227,42.813557,-0.113020,141.090302,47.194359,105.850395,33.542442,83.681206,-34.302982,141.860718,7.703712,236.266953
13,0.216667,-0.284282,42.812744,-0.116477,141.090469,47.193985,105.851242,36.027771,83.876152,-36.580696,141.857529,7.702539,236.299301
14,0.233333,-0.284375,42.813335,-0.116735,141.090042,47.192154,105.849792,22.699047,82.818718,-23.815430,141.936432,7.670008,236.218842
15,0.250000,-0.287221,42.813580,-0.114100,141.089325,47.194378,105.850586,31.874943,83.733788,-32.829620,141.860504,7.703152,236.266678
16,0.266667,-0.281691,42.810310,-0.117518,141.090897,47.192619,105.850777,33.137714,83.788979,-34.057846,141.857773,7.712925,236.275574
17,0.283333,-0.283934,42.812080,-0.112164,141.090469,47.192543,105.849609,33.143375,83.789406,-34.063427,141.861664,7.702536,236.267441
18,0.300000,-0.285330,42.812164,-0.110963,141.089508,47.192734,105.850266,34.296375,83.855362,-35.129440,141.858231,7.700834,236.299423
19,0.316667,-0.283547,42.815205,-0.115812,141.090179,47.193703,105.851494,34.299137,83.855591,-35.132229,141.861694,7.702805,236.266846
20,0.333333,-0.286656,42.811203,-0.113971,141.090424,47.192047,105.850006,34.301434,83.855843,-35.134464,141.860672,7.703128,236.267166
21,0.350000,-0.275864,42.817734,-0.117710,141.089920,47.193329,105.849480,34.305515,83.856461,-35.137890,141.860489,7.691547,236.292175
22,0.366667,-0.279689,42.818302,-0.119856,141.090637,47.191521,105.849495,22.195723,82.928131,-23.114061,141.937012,7.656107,236.243469
23,0.383333,-0.282348,42.818436,-0.120698,141.089493,47.194153,105.850388,34.422596,83.800224,-35.130474,141.856934,7.714785,236.274689
24,0.400000,-0.291010,42.815807,-0.114100,141.090134,47.192863,105.849335,34.425976,83.800919,-35.133270,141.861176,7.690316,236.292908
25,0.416667,-0.286575,42.807526,-0.112238,141.090225,47.193439,105.850235,22.237206,82.923264,-23.069969,141.937119,7.655385,236.244339
26,0.433333,-0.281682,42.815811,-0.117386,141.090820,47.193413,105.849503,34.606422,83.811661,-35.227150,141.857300,7.714468,236.274689
27,0.450000,-0.279091,42.820248,-0.123548,141.089798,47.194332,105.850258,34.609688,83.812317,-35.229897,141.861588,7.689992,236.292084
28,0.466667,-0.284374,42.805264,-0.114323,141.090256,47.193199,105.851028,34.620682,83.813065,-35.240131,141.858398,7.701038,236.299271
29,0.483333,-0.286735,42.812332,-0.111624,141.090256,47.193192,105.850052,34.630936,83.813461,-35.250221,141.858139,7.713212,236.274414
30,0.500000,-0.291267,42.816086,-0.114997,141.089737,47.194542,105.850769,34.634083,83.814125,-35.252876,141.861038,7.690444,236.292358
31,0.516667,-0.286692,42.808540,-0.108005,141.090317,47.192722,105.850838,34.644005,83.814583,-35.262672,141.858704,7.714324,236.274689
32,0.533333,-0.284901,42.814812,-0.119285,141.090210,47.193180,105.850777,34.654781,83.815384,-35.272625,141.857681,7.701434,236.300018
33,0.550000,-0.289205,42.813076,-0.115427,141.089279,47.194160,105.850342,34.666019,83.816162,-35.283062,141.858170,7.701474,236.300247
34,0.566667,-0.283846,42.811493,-0.112477,141.090927,47.191914,105.849693,34.677071,83.816895,-35.293339,141.858063,7.701125,236.299515
35,0.583333,-0.282447,42.810150,-0.115573,141.090469,47.192360,105.849609,34.678799,83.817276,-35.295223,141.860992,7.702154,236.267990
36,0.600000,-0.281377,42.819912,-0.122503,141.089706,47.193790,105.849716,34.689079,83.817734,-35.305340,141.856476,7.713862,236.275482
37,0.616667,-0.280372,42.812450,-0.118408,141.090668,47.193226,105.850624,34.691914,83.818405,-35.307720,141.861115,7.689868,236.291534
38,0.633333,-0.285229,42.809937,-0.116083,141.089828,47.193581,105.851410,34.702286,83.818802,-35.317970,141.858429,7.712343,236.275391
39,0.650000,-0.288839,42.811863,-0.114400,141.089340,47.194023,105.849983,34.704979,83.819443,-35.320152,141.861069,7.692067,236.292297
40,0.666667,-0.282480,42.804790,-0.111999,141.090775,47.192783,105.850533,34.714764,83.819855,-35.329815,141.858414,7.713090,236.274979
41,0.683333,-0.284960,42.815151,-0.117503,141.090256,47.193905,105.849899,34.724781,83.820343,-35.339668,141.857651,7.715107,236.275070
42,0.700000,-0.288567,42.819954,-0.120424,141.090469,47.193024,105.849419,34.734756,83.820824,-35.349461,141.856979,7.714577,236.274429
43,0.716667,-0.283772,42.811272,-0.113800,141.091019,47.191845,105.849968,34.736225,83.821243,-35.351097,141.861267,7.703590,236.267273
44,0.733333,-0.279065,42.814327,-0.119778,141.090332,47.193066,105.850204,22.460016,82.903778,-23.243635,141.937119,7.655824,236.244156
45,0.750000,-0.292008,42.813156,-0.115920,141.089722,47.193787,105.850365,34.383759,83.793724,-34.979576,141.857391,7.713918,236.274414
46,0.766667,-0.280370,42.807140,-0.114109,141.090775,47.193386,105.851051,22.315630,82.796722,-23.454195,141.936340,7.668227,236.219543
47,0.783333,-0.284047,42.810425,-0.117264,141.089371,47.193848,105.850433,34.460281,83.753799,-35.294666,141.857864,7.713915,236.275238
48,0.800000,-0.287747,42.817997,-0.118586,141.089142,47.193657,105.849686,34.462780,83.754295,-35.297157,141.860657,7.703292,236.266373
49,0.816667,-0.282824,42.812180,-0.119470,141.090561,47.192898,105.850616,34.473522,83.754860,-35.307655,141.859024,7.712094,236.275513
50,0.833333,-0.282226,42.812000,-0.113914,141.090164,47.193459,105.850624,28.433516,82.744354,-29.328724,141.925125,7.697392,236.227676
51,0.850000,-0.288866,42.815563,-0.114294,141.090057,47.194527,105.849792,33.732555,83.673820,-34.568680,141.861145,7.703079,236.266968
52,0.866667,-0.288074,42.806160,-0.109743,141.090759,47.193008,105.850563,33.738441,83.674805,-34.573944,141.861420,7.689758,236.292084
53,0.883333,-0.283554,42.810356,-0.113104,141.089844,47.194145,105.849899,36.158962,83.868187,-36.784451,141.858078,7.699368,236.299164
54,0.900000,-0.284656,42.817009,-0.118860,141.090485,47.193878,105.849899,36.166397,83.868500,-36.791740,141.857483,7.714361,236.275009
55,0.916667,-0.286192,42.808167,-0.113612,141.090942,47.192902,105.850052,36.165787,83.868645,-36.791271,141.860550,7.702902,236.267502
56,0.933333,-0.287539,42.813175,-0.118267,141.090057,47.194344,105.850517,36.164932,83.868774,-36.790592,141.861786,7.703070,236.267548
57,0.950000,-0.276240,42.815258,-0.119270,141.089706,47.192894,105.849327,36.163750,83.868958,-36.789562,141.860229,7.705136,236.266495
58,0.966667,-0.285402,42.808544,-0.111626,141.090500,47.193405,105.850693,22.618254,82.814659,-23.801899,141.937485,7.667984,236.216690
59,0.983333,-0.279284,42.814468,-0.120673,141.091064,47.193783,105.850670,31.852491,83.763664,-32.892784,141.861481,7.703438,236.261795
60,1.000000,-0.280442,42.815113,-0.120306,141.089493,47.193562,105.849838,27.645859,82.747513,-28.669306,141.925842,7.701818,236.219116
61,1.016667,-0.283375,42.810661,-0.118463,141.090439,47.192444,105.850807,33.294540,83.674995,-34.303963,141.856049,7.703697,236.258789
62,1.033333,-0.280608,42.815685,-0.115398,141.089935,47.192635,105.849312,33.301811,83.675568,-34.311203,141.858170,7.704871,236.258057
63,1.050000,-0.275842,42.819633,-0.122479,141.089417,47.193390,105.849373,33.311077,83.676117,-34.320229,141.863037,7.707602,236.263031
64,1.066667,-0.283652,42.806671,-0.110181,141.090042,47.193661,105.850777,33.320808,83.676643,-34.329861,141.864212,7.707484,236.261627
65,1.083333,-0.286588,42.810966,-0.111865,141.090134,47.193165,105.849861,33.327286,83.677460,-34.336353,141.861435,7.701289,236.260696
66,1.100000,-0.285680,42.811230,-0.118374,141.089417,47.194450,105.850029,33.330704,83.678368,-34.339638,141.858032,7.715290,236.259277
67,1.116667,-0.284679,42.812492,-0.115841,141.090179,47.193275,105.850258,23.676521,82.697609,-25.040710,141.936707,7.682329,236.210892
68,1.133333,-0.286672,42.807533,-0.111736,141.089554,47.193493,105.851242,23.682072,82.697128,-25.045984,141.924149,7.700338,236.222977
69,1.150000,-0.288034,42.810440,-0.113176,141.089706,47.193207,105.850075,34.697132,83.730530,-35.711407,141.861771,7.725213,236.274429
70,1.166667,-0.290293,42.808342,-0.109982,141.090576,47.192341,105.850342,34.697399,83.731171,-35.711555,141.867233,7.724755,236.267639
71,1.183333,-0.287930,42.813778,-0.117720,141.089813,47.193897,105.850662,34.699314,83.731598,-35.713295,141.870926,7.734252,236.258453
72,1.200000,-0.277300,42.817913,-0.118923,141.089447,47.193920,105.849648,34.698051,83.731133,-35.711800,141.929855,7.731449,236.225418
73,1.216667,-0.283537,42.809612,-0.113316,141.089981,47.192757,105.850586,34.699997,83.731514,-35.713345,141.868347,7.743999,236.263855
74,1.233333,-0.285381,42.808826,-0.117654,141.089600,47.194843,105.850754,74.026604,86.039017,-75.710030,141.807373,7.702158,236.070221
75,1.250000,-0.288835,42.812210,-0.111414,141.089752,47.193214,105.849777,74.709602,86.055237,-76.247421,141.810089,7.714473,236.077042
76,1.266667,-0.282592,42.815678,-0.115929,141.089966,47.192253,105.850555,31.229931,84.031242,-31.247278,141.876083,7.790808,236.305542
77,1.283333,-0.277891,42.810978,-0.116494,141.090363,47.193295,105.850327,27.044273,84.132683,-26.318270,141.869415,7.826810,236.311295
78,1.300000,-0.285772,42.812500,-0.111348,141.088898,47.194271,105.850533,30.385431,84.059395,-29.046965,141.860672,7.866605,236.337204
79,1.316667,-0.280940,42.811008,-0.114845,141.090744,47.192730,105.850983,14.813254,81.309547,-14.824864,141.935242,7.869074,236.279007
80,1.333333,-0.283852,42.819080,-0.118283,141.090149,47.192551,105.850349,16.746157,81.365433,-17.878132,141.937698,7.916646,236.326630
81,1.350000,-0.288319,42.810528,-0.110053,141.089813,47.194096,105.850372,24.157944,80.333832,-26.915071,141.868103,8.079371,236.397202
82,1.366667,-0.278925,42.817001,-0.122218,141.090393,47.192513,105.850601,15.401120,79.894943,-18.644970,141.976364,8.103822,236.345245
83,1.383333,-0.280159,42.811707,-0.110734,141.090225,47.192829,105.849304,14.897519,82.525291,-14.497200,141.855164,8.353667,236.410645
84,1.400000,-0.275972,42.820988,-0.121164,141.089233,47.192867,105.849731,12.418982,80.186630,-13.629391,141.889069,8.376204,236.451935
85,1.416667,-0.279294,42.813316,-0.119955,141.090637,47.192226,105.850792,21.083454,79.927177,-21.053841,141.857986,8.558390,236.495560
86,1.433333,-0.289236,42.807724,-0.115393,141.090088,47.193001,105.850815,20.386520,79.350792,-20.090450,141.901520,8.739256,236.494064
87,1.450000,-0.292225,42.811249,-0.111126,141.089111,47.193779,105.850616,23.100172,81.025574,-24.185822,141.775742,8.919765,236.583633
88,1.466667,-0.287119,42.811298,-0.113429,141.090744,47.191967,105.850914,20.557005,81.300934,-18.342478,141.758545,9.226083,236.516525
89,1.483333,-0.280578,42.816826,-0.118912,141.090256,47.192417,105.849670,11.557135,81.785408,-15.577142,141.798691,9.351874,236.547607
90,1.500000,-0.288311,42.814449,-0.117631,141.088943,47.194633,105.850746,20.018425,80.498436,-21.618528,141.748901,9.501164,236.676208
91,1.516667,-0.285314,42.805550,-0.116616,141.090576,47.191273,105.850029,20.500675,77.643776,-25.681183,141.828735,9.714584,236.612289
92,1.533333,-0.286276,42.809620,-0.110334,141.089386,47.195084,105.851051,16.023731,77.692070,-17.968742,141.800018,9.901915,236.619537
