Format Version,1.23,Take Name,spm,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-05-31 02.37.19.681 PM,Capture Start Frame,12481938,Total Frames in Take,1440,Total Exported Frames,1440,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
36,0.600000,0.530793,3.276122,-0.112983,0.959002,1.341548,0.509216,-5.920776,-8.899567,175.857269,1.072261,0.071838,2.150821
37,0.616667,-179.581955,0.839410,-0.056116,0.958932,1.341524,0.509087,-5.920774,-8.899564,175.857269,1.072268,0.071838,2.150828
38,0.633333,1.440066,-0.780664,179.874130,0.958995,1.341554,0.509207,-5.920776,-8.899558,175.857285,1.072257,0.071830,2.150830
39,0.650000,0.541575,3.238945,-0.013743,0.958959,1.341202,0.509222,-5.920776,-8.899556,175.857300,1.072262,0.071832,2.150824
40,0.666667,-178.633362,-3.191716,179.962234,0.958940,1.341531,0.509094,-5.920775,-8.899552,175.857300,1.072268,0.071849,2.150831
41,0.683333,1.467008,-0.794622,179.873016,0.959007,1.341553,0.509214,-5.920777,-8.899553,175.857300,1.072261,0.071831,2.150834
42,0.700000,1.453898,-0.798763,179.874725,0.959005,1.341582,0.509261,-5.920776,-8.899549,175.857300,1.072255,0.071823,2.150827
43,0.716667,1.485677,-0.782688,179.865509,0.959008,1.341582,0.509279,-5.920782,-8.899542,175.857315,1.072263,0.071848,2.150824
44,0.733333,0.565894,3.264533,-0.022743,0.958956,1.341187,0.509190,-5.920784,-8.899537,175.857315,1.072260,0.071828,2.150831
45,0.750000,0.555035,3.262046,-0.020952,0.958944,1.341181,0.509174,-5.920784,-8.899537,175.857315,1.072265,0.071853,2.150822
46,0.766667,0.542866,3.277031,-0.021294,0.958962,1.341203,0.509237,-5.920787,-8.899533,175.857330,1.072269,0.071840,2.150826
47,0.783333,0.523510,3.265996,-0.115781,0.958996,1.341575,0.509231,-5.920788,-8.899530,175.857330,1.072253,0.071835,2.150827
48,0.800000,1.464090,-0.747566,179.858093,0.959006,1.341570,0.509242,-5.920790,-8.899529,175.857330,1.072260,0.071831,2.150820
49,0.816667,1.481794,-0.735445,179.852585,0.959016,1.341562,0.509241,-5.920789,-8.899527,175.857346,1.072264,0.071847,2.150823
50,0.833333,0.551295,3.269370,-0.021217,0.958942,1.341179,0.509164,-5.920790,-8.899524,175.857361,1.072259,0.071824,2.150833
51,0.850000,0.559686,3.271608,-0.122672,0.958989,1.341551,0.509203,-5.920793,-8.899468,175.857513,1.072263,0.071847,2.150826
52,0.866667,0.533939,3.250867,-0.017337,0.958938,1.341189,0.509199,-5.920794,-8.899463,175.857529,1.072265,0.071833,2.150826
53,0.883333,0.519664,3.274214,-0.114446,0.958995,1.341562,0.509207,-5.920791,-8.899461,175.857529,1.072270,0.071842,2.150832
54,0.900000,1.462800,-0.746157,179.857910,0.959006,1.341569,0.509252,-5.920795,-8.899456,175.857544,1.072263,0.071845,2.150834
55,0.916667,0.551845,3.284246,-0.030018,0.958935,1.341180,0.509204,-5.920794,-8.899454,175.857544,1.072267,0.071842,2.150831
56,0.933333,0.550362,3.275140,-0.027406,0.958951,1.341190,0.509218,-5.920792,-8.899451,175.857544,1.072263,0.071836,2.150829
57,0.950000,0.536945,3.296403,-0.122985,0.959007,1.341547,0.509202,-5.920796,-8.899446,175.857559,1.072255,0.071829,2.150827
58,0.966667,1.434564,-0.757223,179.863037,0.959007,1.341567,0.509238,-5.920799,-8.899444,175.857559,1.072269,0.071862,2.150823
59,0.983333,1.467439,-0.775848,179.869644,0.959008,1.341580,0.509238,-5.920802,-8.899440,175.857559,1.072258,0.071825,2.150832
60,1.000000,0.433327,3.171555,0.014433,0.958875,1.341144,0.509030,-5.920805,-8.899439,175.857559,1.072264,0.071852,2.150822
