Frame,time,spm_rot_x,spm_rot_y,spm_rot_z,spm_pos_x,spm_pos_y,spm_pos_z,cf_rot_x,cf_rot_y,cf_rot_z,cf_pos_x,cf_pos_y,cf_pos_z
41,683.333,-32.445,1.323,64.412,1.292.723,1.349.704,1.111.779,-1.425.413,-31.606.134,-5.137.424,1.272.619,73.640,2.365.169
42,700.000,-26.649,-505,63.351,1.292.727,1.349.706,1.111.781,-1.414.582,-31.603.901,-5.111.353,1.272.619,73.660,2.365.173
43,716.667,-28.368,-2.057,61.635,1.292.719,1.349.711,1.111.778,-1.310.413,-31.639.452,-4.978.834,1.272.623,73.664,2.365.190
44,733.333,-28.525,-930,62.732,1.292.721,1.349.708,1.111.777,46.722,-31.978.161,-4.213.345,1.272.603,74.157,2.366.070
45,750.000,-27.474,-1.509,62.807,1.292.729,1.349.711,1.111.786,-1.550.340,-31.436.701,-5.238.012,1.272.434,73.636,2.365.037
46,766.667,-29.139,-2.011,63.596,1.292.726,1.349.713,1.111.782,-2.482.571,-31.378.275,-5.811.095,1.272.448,73.285,2.364.921
47,783.333,-30.379,-1.574,62.734,1.292.725,1.349.708,1.111.781,217.198,-32.034.313,-3.896.076,1.272.601,74.136,2.366.053
48,800.000,-27.357,319,64.083,1.292.731,1.349.704,1.111.784,-2.372.619,-31.419.014,-5.687.213,1.272.442,73.285,2.364.914
49,816.667,-28.625,-451,64.488,1.292.721,1.349.709,1.111.782,-2.542.546,-31.400.593,-5.759.719,1.272.462,73.342,2.364.947
50,833.333,-49.405,19.183,49.954,1.292.693,1.349.715,1.111.809,-2.501.345,-31.393.534,-5.784.678,1.272.450,73.263,2.364.903
51,850.000,-27.850,2.141,65.172,1.292.727,1.349.705,1.111.783,-1.238.788,-31.674.603,-4.886.365,1.272.609,73.630,2.365.167
52,866.667,-30.051,-181,62.623,1.292.719,1.349.700,1.111.776,-1.492.186,-31.611.567,-5.153.933,1.272.606,73.632,2.365.169
53,883.333,898.617,-4.019.626,-179.918.182,1.292.689,1.349.716,1.111.810,-1.541.248,-31.445.347,-5.140.532,1.272.425,73.641,2.365.040
54,900.000,-29.144,1.301,63.749,1.292.723,1.349.706,1.111.786,-2.254.205,-31.399.431,-5.780.476,1.272.438,73.273,2.364.917
55,916.667,910.462,-4.008.837,-179.926.010,1.292.675,1.349.697,1.111.788,-687,-31.974.316,-4.228.716,1.272.591,74.122,2.366.049
56,933.333,900.030,-4.020.790,-179.916.672,1.292.686,1.349.720,1.111.812,-1.581.624,-31.425.541,-5.173.878,1.272.426,73.655,2.365.043
57,950.000,-24.799,-571,62.771,1.292.724,1.349.706,1.111.788,-1.459.273,-31.479.980,-5.029.287,1.272.418,73.614,2.365.028
58,966.667,-27.723,-1.992,63.870,1.292.720,1.349.709,1.111.780,-2.464.824,-31.415.295,-5.743.155,1.272.442,73.265,2.364.907
59,983.333,900.995,-4.022.116,-179.918.198,1.292.686,1.349.720,1.111.811,-2.491.900,-31.394.962,-5.798.676,1.272.443,73.255,2.364.899
60,1.000.000,-28.496,-117,62.471,1.292.723,1.349.704,1.111.781,-2.299.112,-31.402.052,-5.721.403,1.272.437,73.231,2.364.886
61,1.016.667,-29.474,369,63.961,1.292.716,1.349.704,1.111.779,-2.427.047,-31.402.515,-5.753.808,1.272.448,73.281,2.364.917
62,1.033.333,-27.000,-2.222,64.763,1.292.723,1.349.703,1.111.774,-1.388.919,-31.471.069,-5.105.608,1.272.423,73.606,2.365.027
63,1.050.000,-25.433,2.105,62.899,1.292.731,1.349.707,1.111.784,-2.502.607,-31.402.498,-5.784.285,1.272.434,73.254,2.364.894
64,1.066.667,-29.109,-1.243,62.485,1.292.722,1.349.703,1.111.775,-1.501.370,-31.440.092,-5.122.406,1.272.432,73.612,2.365.032
65,1.083.333,-29.368,-2.437,65.800,1.292.724,1.349.706,1.111.780,-2.553.963,-31.392.229,-5.761.099,1.272.439,73.276,2.364.917
66,1.100.000,-26.993,-291,63.204,1.292.733,1.349.708,1.111.791,-2.490.866,-31.409.018,-5.736.304,1.272.442,73.277,2.364.919
67,1.116.667,-47.479,17.176,48.850,1.292.694,1.349.718,1.111.810,-2.449.010,-31.411.121,-5.741.661,1.272.451,73.297,2.364.924
68,1.133.333,-31.651,-274,61.034,1.292.725,1.349.704,1.111.782,-2.607.003,-31.368.050,-5.923.574,1.272.451,73.290,2.364.913
69,1.150.000,-26.149,-1.434,64.055,1.292.730,1.349.707,1.111.789,-2.544.493,-31.387.476,-5.790.086,1.272.445,73.305,2.364.932
70,1.166.667,899.164,-4.022.727,-179.917.786,1.292.696,1.349.717,1.111.811,-1.523.322,-31.454.363,-5.100.420,1.272.431,73.627,2.365.039
71,1.183.333,-31.685,-3.337,65.774,1.292.722,1.349.702,1.111.778,-2.528.705,-31.391.308,-5.812.728,1.272.453,73.319,2.364.935
72,1.200.000,-28.287,51,64.497,1.292.728,1.349.709,1.111.792,-2.437.640,-31.421.515,-5.736.906,1.272.447,73.277,2.364.913
73,1.216.667,-31.392,-984,64.694,1.292.720,1.349.706,1.111.779,-1.506.568,-31.610.966,-5.150.671,1.272.617,73.640,2.365.169
74,1.233.333,-32.714,-1.982,65.164,1.292.722,1.349.702,1.111.782,-10.603,-31.972.509,-4.192.003,1.272.599,74.156,2.366.069
75,1.250.000,-28.202,1.844,60.893,1.292.725,1.349.707,1.111.788,-1.572.230,-31.440.037,-5.213.403,1.272.414,73.617,2.365.024
76,1.266.667,-22.159,4.585,74.569,1.292.736,1.349.716,1.111.774,-52.255,-31.985.355,-4.182.420,1.272.599,74.161,2.366.076
77,1.283.333,-30.492,830,62.274,1.292.720,1.349.705,1.111.781,-2.588.330,-31.386.877,-5.767.792,1.272.448,73.279,2.364.914
78,1.300.000,-28.247,1.689,63.803,1.292.732,1.349.703,1.111.790,-1.316.622,-31.627.092,-5.092.302,1.272.622,73.675,2.365.190
79,1.316.667,-28.213,1.210,61.853,1.292.723,1.349.709,1.111.785,-1.452.887,-31.643.513,-5.021.271,1.272.611,73.606,2.365.164
80,1.333.333,-29.739,258,64.834,1.292.726,1.349.708,1.111.784,-57.790,-31.983.871,-4.133.708,1.272.600,74.135,2.366.055
81,1.350.000,-43.925,17.350,50.531,1.292.701,1.349.719,1.111.815,-2.608.397,-31.395.634,-5.790.674,1.272.443,73.252,2.364.895
82,1.366.667,-51.302,20.129,48.964,1.292.692,1.349.716,1.111.806,-1.560.981,-31.433.603,-5.176.318,1.272.420,73.617,2.365.031
83,1.383.333,-33.478,35,63.391,1.292.725,1.349.704,1.111.779,-1.020.771,-31.690.983,-4.800.353,1.272.608,73.610,2.365.165
84,1.400.000,-28.639,901,64.471,1.292.733,1.349.703,1.111.781,-70.228,-31.994.215,-4.172.287,1.272.593,74.137,2.366.058
85,1.416.667,-29.445,-1.257,63.929,1.292.725,1.349.704,1.111.777,-1.372.802,-31.619.026,-5.067.214,1.272.613,73.643,2.365.180
86,1.433.333,-23.247,8.253,71.602,1.292.741,1.349.717,1.111.766,-1.424.355,-31.448.090,-5.113.457,1.272.418,73.600,2.365.025
87,1.450.000,-27.068,-748,61.542,1.292.730,1.349.711,1.111.787,-2.361.694,-31.430.653,-5.675.443,1.272.439,73.293,2.364.930
88,1.466.667,-31.674,-670,63.157,1.292.724,1.349.709,1.111.783,-2.378.269,-31.421.434,-5.665.715,1.272.446,73.284,2.364.917
89,1.483.333,898.191,-4.021.174,-179.916.183,1.292.690,1.349.721,1.111.811,-2.412.268,-31.386.236,-5.782.484,1.272.439,73.258,2.364.909
90,1.500.000,-26.113,-820,62.010,1.292.733,1.349.703,1.111.785,-2.436.466,-31.410.166,-5.753.598,1.272.433,73.270,2.364.909
91,1.516.667,906.704,-4.014.670,-179.909.332,1.292.712,1.349.732,1.111.798,-1.460.365,-31.633.150,-5.053.445,1.272.609,73.626,2.365.163
92,1.533.333,-31.664,864,63.513,1.292.721,1.349.703,1.111.778,-1.454.829,-31.456.461,-5.081.849,1.272.422,73.627,2.365.033
93,1.550.000,-27.148,-755,62.139,1.292.721,1.349.706,1.111.786,-1.392.085,-31.601.673,-5.163.199,1.272.605,73.622,2.365.157
94,1.566.667,-47.699,17.249,49.383,1.292.686,1.349.717,1.111.811,-2.262.738,-31.432.838,-5.642.140,1.272.436,73.234,2.364.889
95,1.583.333,-29.717,-3.497,64.170,1.292.714,1.349.705,1.111.783,-2.266.313,-31.410.763,-5.634.652,1.272.433,73.237,2.364.887
96,1.600.000,-27.927,-3.173,64.227,1.292.721,1.349.708,1.111.789,-2.538.810,-31.408.489,-5.815.885,1.272.435,73.263,2.364.900
97,1.616.667,-29.269,-2.968,64.613,1.292.717,1.349.703,1.111.786,-2.486.483,-31.400.326,-5.755.339,1.272.437,73.256,2.364.904
98,1.633.333,-29.993,-545,63.510,1.292.715,1.349.701,1.111.786,-2.218.667,-31.452.259,-5.547.402,1.272.433,73.271,2.364.915
99,1.650.000,-15.053,10.536,54.093,1.292.720,1.349.691,1.111.772,-2.379.813,-31.439.846,-5.654.247,1.272.431,73.256,2.364.904
100,1.666.667,-28.692,-1.354,64.097,1.292.720,1.349.702,1.111.786,38.709,-32.001.160,-4.086.580,1.272.590,74.137,2.366.056
101,1.683.333,-30.590,-3.977,66.915,1.292.724,1.349.707,1.111.784,-2.490.052,-31.411.255,-5.754.115,1.272.445,73.300,2.364.933
102,1.700.000,-26.634,-1.164,63.478,1.292.732,1.349.716,1.111.796,-12.744,-31.988.214,-4.151.244,1.272.589,74.132,2.366.052
103,1.716.667,-29.740,-922,63.425,1.292.722,1.349.703,1.111.775,-1.484.793,-31.641.384,-5.030.788,1.272.615,73.650,2.365.181
104,1.733.333,-30.544,303,62.773,1.292.722,1.349.701,1.111.775,2.870,-31.992.836,-4.124.440,1.272.590,74.169,2.366.072
105,1.750.000,-26.015,1.289,63.808,1.292.730,1.349.706,1.111.784,-1.520.279,-31.461.870,-5.139.533,1.272.427,73.627,2.365.034
106,1.766.667,-32.052,-203,61.964,1.292.722,1.349.707,1.111.779,-2.316.520,-31.443.552,-5.605.590,1.272.449,73.266,2.364.913
107,1.783.333,-30.386,-1.291,63.379,1.292.726,1.349.710,1.111.779,-2.405.947,-31.421.278,-5.679.145,1.272.441,73.260,2.364.902
108,1.800.000,-29.546,752,63.926,1.292.732,1.349.708,1.111.783,-1.463.297,-31.469.893,-5.124.546,1.272.423,73.642,2.365.037
109,1.816.667,-29.891,-1.578,61.700,1.292.717,1.349.706,1.111.774,-1.280.277,-31.619.480,-4.982.566,1.272.608,73.607,2.365.158
110,1.833.333,-28.783,1.693,61.820,1.292.721,1.349.703,1.111.776,-2.409.073,-31.404.758,-5.735.826,1.272.446,73.278,2.364.916
111,1.850.000,-26.647,-192,63.718,1.292.724,1.349.708,1.111.782,-1.531.107,-31.477.785,-5.127.934,1.272.420,73.607,2.365.027
112,1.866.667,-17.131,11.544,55.563,1.292.708,1.349.685,1.111.760,-1.498.699,-31.442.801,-5.177.798,1.272.425,73.637,2.365.047
113,1.883.333,898.320,-4.021.121,-179.917.740,1.292.689,1.349.718,1.111.807,-1.343.237,-31.644.810,-5.005.072,1.272.618,73.643,2.365.176
114,1.900.000,-28.863,-780,61.738,1.292.721,1.349.704,1.111.783,-2.496.392,-31.386.621,-5.827.012,1.272.440,73.274,2.364.905
115,1.916.667,-32.337,1.190,63.597,1.292.719,1.349.701,1.111.779,-1.541.521,-31.616.491,-5.129.705,1.272.611,73.624,2.365.168
116,1.933.333,-27.452,-149,62.709,1.292.721,1.349.699,1.111.783,-1.641.216,-31.572.823,-5.228.566,1.272.614,73.628,2.365.178
117,1.950.000,-25.937,896,62.698,1.292.726,1.349.702,1.111.787,-1.319.219,-31.616.892,-5.043.890,1.272.599,73.621,2.365.154
118,1.966.667,-29.571,-1.303,63.400,1.292.725,1.349.703,1.111.780,-1.674.112,-31.421.028,-5.273.233,1.272.427,73.617,2.365.028
119,1.983.333,-29.928,203,62.417,1.292.720,1.349.703,1.111.784,-2.262.274,-31.416.227,-5.628.110,1.272.444,73.265,2.364.906
120,2.000.000,-26.857,708,64.784,1.292.728,1.349.707,1.111.793,-1.521.206,-31.602.575,-5.166.098,1.272.605,73.624,2.365.166
121,2.016.667,-29.375,-2.227,64.286,1.292.722,1.349.700,1.111.785,-2.459.102,-31.375.420,-5.796.109,1.272.442,73.271,2.364.915
122,2.033.333,-31.419,-1.205,63.549,1.292.724,1.349.706,1.111.785,64.800,-32.007.069,-4.047.921,1.272.588,74.146,2.366.066
123,2.050.000,-28.540,-1.663,61.825,1.292.730,1.349.711,1.111.795,-1.323.391,-31.686.228,-4.931.406,1.272.596,73.628,2.365.168
124,2.066.667,-49.026,23.034,46.411,1.292.697,1.349.715,1.111.810,126.972,-31.973.715,-4.124.869,1.272.591,74.154,2.366.067
125,2.083.333,901.093,-4.024.541,-179.915.619,1.292.696,1.349.718,1.111.810,-1.310.790,-31.615.004,-5.008.586,1.272.609,73.644,2.365.178
126,2.100.000,-25.535,67,64.194,1.292.730,1.349.712,1.111.789,35.118,-31.993.408,-4.164.513,1.272.589,74.153,2.366.068
127,2.116.667,-30.763,-891,63.431,1.292.719,1.349.696,1.111.773,-1.331.328,-31.454.889,-5.119.353,1.272.429,73.620,2.365.031
128,2.133.333,-33.279,-3.552,63.766,1.292.723,1.349.704,1.111.776,-2.520.661,-31.380.386,-5.783.872,1.272.436,73.278,2.364.918
129,2.150.000,-43.892,17.325,50.629,1.292.696,1.349.715,1.111.806,-2.539.399,-31.399.879,-5.792.799,1.272.443,73.286,2.364.918
130,2.166.667,-29.852,374,65.237,1.292.722,1.349.702,1.111.778,-1.386.227,-31.475.924,-5.042.408,1.272.421,73.604,2.365.031
131,2.183.333,897.772,-4.021.283,-179.917.313,1.292.691,1.349.720,1.111.809,-101.451,-31.978.865,-4.211.260,1.272.594,74.112,2.366.040
132,2.200.000,-26.741,-1.396,61.971,1.292.725,1.349.709,1.111.790,-2.503.866,-31.409.622,-5.761.788,1.272.440,73.260,2.364.913
133,2.216.667,-31.199,-1.938,64.173,1.292.722,1.349.701,1.111.777,-2.486.427,-31.421.989,-5.687.293,1.272.447,73.294,2.364.930
134,2.233.333,898.622,-4.021.214,-179.916.779,1.292.686,1.349.716,1.111.810,-2.511.948,-31.385.242,-5.826.915,1.272.443,73.264,2.364.905
135,2.250.000,-21.817,5.991,70.944,1.292.741,1.349.718,1.111.779,-2.409.194,-31.385.481,-5.756.078,1.272.445,73.280,2.364.918
136,2.266.667,-28.987,740,63.353,1.292.721,1.349.705,1.111.776,-1.392.936,-31.464.748,-5.135.835,1.272.419,73.623,2.365.031
137,2.283.333,-30.434,-2.869,63.417,1.292.723,1.349.701,1.111.783,-2.285.493,-31.408.520,-5.677.111,1.272.449,73.287,2.364.917
138,2.300.000,-28.868,1.904,63.634,1.292.723,1.349.700,1.111.786,-2.390.340,-31.439.354,-5.695.286,1.272.444,73.279,2.364.921
139,2.316.667,901.298,-4.021.605,-179.917.114,1.292.691,1.349.720,1.111.816,-2.549.532,-31.402.447,-5.819.027,1.272.448,73.275,2.364.914
140,2.333.333,-30.308,-2.187,62.472,1.292.721,1.349.703,1.111.790,-2.331.156,-31.451.571,-5.624.507,1.272.449,73.286,2.364.923
141,2.350.000,-26.001,-67,62.071,1.292.733,1.349.712,1.111.798,-1.479.180,-31.458.817,-5.119.502,1.272.416,73.632,2.365.044
142,2.366.667,-30.873,-971,61.634,1.292.724,1.349.711,1.111.791,-1.520.924,-31.443.981,-5.180.367,1.272.421,73.627,2.365.042
143,2.383.333,-16.872,11.612,54.653,1.292.708,1.349.686,1.111.766,-2.499.395,-31.392.786,-5.749.824,1.272.452,73.302,2.364.929
144,2.400.000,-27.424,-3.468,63.833,1.292.732,1.349.708,1.111.792,-2.524.228,-31.395.357,-5.756.933,1.272.443,73.288,2.364.923
145,2.416.667,-49.165,17.752,50.111,1.292.691,1.349.722,1.111.814,-2.513.084,-31.410.900,-5.753.022,1.272.452,73.266,2.364.909
146,2.433.333,-29.814,-2.704,64.177,1.292.722,1.349.704,1.111.781,-1.386.601,-31.621.782,-5.067.746,1.272.619,73.657,2.365.179
147,2.450.000,-26.132,948,61.912,1.292.729,1.349.704,1.111.778,-50.746,-31.964.281,-4.291.704,1.272.595,74.153,2.366.071
148,2.466.667,897.001,-4.018.610,-179.917.450,1.292.687,1.349.722,1.111.808,-2.361.300,-31.414.431,-5.645.436,1.272.451,73.282,2.364.915
149,2.483.333,-30.650,-1.492,63.982,1.292.722,1.349.711,1.111.777,-1.550.347,-31.621.269,-5.141.056,1.272.605,73.611,2.365.160
150,2.500.000,-26.563,943,63.422,1.292.724,1.349.706,1.111.779,-1.539.856,-31.470.972,-5.027.051,1.272.434,73.641,2.365.038
151,2.516.667,-29.028,-3.978,64.859,1.292.716,1.349.701,1.111.775,-1.583.548,-31.393.070,-5.271.278,1.272.423,73.634,2.365.036
152,2.533.333,-30.148,193,64.878,1.292.717,1.349.699,1.111.770,-1.312.773,-31.641.478,-4.938.340,1.272.629,73.695,2.365.170
153,2.550.000,-27.136,2.309,62.458,1.292.724,1.349.709,1.111.785,-2.640.332,-31.404.709,-5.715.926,1.272.452,73.302,2.364.879
154,2.566.667,-23.604,3.869,71.665,1.292.735,1.349.719,1.111.764,-2.557.845,-31.400.684,-5.454.758,1.272.465,73.316,2.364.844
155,2.583.333,-29.173,-542,64.873,1.292.721,1.349.707,1.111.777,-1.807.447,-31.452.042,-5.252.916,1.272.403,73.207,2.364.593
156,2.600.000,-21.918,6.356,71.461,1.292.742,1.349.718,1.111.775,-1.693.069,-31.506.283,-5.061.558,1.272.401,73.246,2.364.614
157,2.616.667,-31.076,-2.247,63.418,1.292.725,1.349.705,1.111.782,41.423,-31.766.954,-3.838.446,1.272.674,73.807,2.364.921
158,2.633.333,-30.642,-1.422,63.359,1.292.722,1.349.711,1.111.783,44.496,-31.783.524,-3.908.042,1.272.684,73.840,2.364.941
159,2.650.000,-25.787,-1.930,65.721,1.292.729,1.349.710,1.111.793,-1.637.799,-31.474.140,-4.995.028,1.272.436,73.261,2.364.579
160,2.666.667,-23.620,5.054,72.814,1.292.742,1.349.715,1.111.772,-1.792.434,-31.497.192,-4.925.260,1.272.432,73.247,2.364.524
161,2.683.333,-31.157,250,64.707,1.292.722,1.349.705,1.111.788,64.869,-31.792.294,-3.770.208,1.272.663,73.879,2.364.878
162,2.700.000,-29.096,-2.569,63.759,1.292.733,1.349.708,1.111.793,-2.688.306,-31.555.916,-5.397.182,1.272.356,73.459,2.364.486
163,2.716.667,-29.586,-1.789,63.880,1.292.726,1.349.704,1.111.786,-3.009.212,-31.484.665,-5.575.233,1.272.277,73.623,2.364.415
164,2.733.333,898.363,-4.021.249,-179.914.902,1.292.694,1.349.724,1.111.817,-8.160.228,-46.812.847,172.741.684,1.272.447,74.823,2.364.499
165,2.750.000,-27.019,439,63.285,1.292.730,1.349.709,1.111.790,-4.130.471,-32.057.293,-1.752.165,1.271.879,74.515,2.363.640
166,2.766.667,-30.825,307,64.025,1.292.727,1.349.702,1.111.782,-3.016.443,-32.316.803,-2.481.634,1.271.640,75.640,2.363.171
167,2.783.333,-31.364,-226,63.534,1.292.723,1.349.705,1.111.780,-3.133.907,-32.567.280,-385.315,1.271.646,77.343,2.362.861
168,2.800.000,-26.244,1.782,63.689,1.292.728,1.349.704,1.111.783,-12.565.061,-47.474.045,171.893.707,1.270.888,77.197,2.361.545
169,2.816.667,-31.287,-1.117,62.760,1.292.719,1.349.701,1.111.774,-7.158.235,-32.532.093,-2.980.409,1.270.900,79.167,2.360.753
170,2.833.333,-30.928,-1.092,63.461,1.292.719,1.349.710,1.111.779,-4.892.203,-33.360.119,-516.202,1.270.725,80.596,2.359.965
171,2.850.000,-28.925,-946,64.959,1.292.723,1.349.712,1.111.781,-5.740.807,-33.665.489,-1.119.116,1.270.239,80.874,2.358.567
172,2.866.667,-30.080,-1.120,64.062,1.292.724,1.349.706,1.111.781,-5.511.858,-34.059.929,-2.019.628,1.270.012,81.951,2.357.263
173,2.883.333,-31.677,-1.643,63.533,1.292.723,1.349.704,1.111.777,-16.172.331,-47.444.920,165.811.127,1.269.889,82.337,2.356.007
174,2.900.000,-28.179,45,63.666,1.292.724,1.349.707,1.111.779,-8.583.901,-33.576.958,-8.982.013,1.269.625,81.688,2.354.358
