frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
19,0.316667,176.853851,-42.818100,178.251953,209.411957,48.371956,166.340225,-176.820923,84.996155,177.292404,203.087921,7.772842,254.152634,89.780769,-6.084901,-0.970547,139.987045,46.235867,155.636826,85.198914,4.619583,1.673950,77.901596,80.273727,138.461060
20,0.333333,176.859100,-42.821815,178.224060,209.413696,48.373043,166.339279,-176.820679,84.996140,177.292160,203.099991,7.836265,254.118271,89.777145,-6.084332,-0.973444,139.986832,46.236057,155.637466,-96.649742,-4.396273,177.844421,77.923645,80.269798,138.416458
21,0.350000,176.861984,-42.830334,178.267471,209.410278,48.370846,166.339020,-176.821060,84.996155,177.292526,203.086182,7.772297,254.158829,89.782661,-6.075794,-0.976596,139.985779,46.239536,155.636475,85.203453,4.630393,1.693616,77.901840,80.272392,138.457565
22,0.366667,176.869446,-42.833191,178.248077,209.411957,48.371078,166.337494,-176.822037,84.996185,177.293472,203.097443,7.814718,254.128510,89.775726,-6.085997,-0.975415,139.987427,46.236973,155.637451,-96.648315,-4.398764,177.848053,77.922287,80.267494,138.415710
23,0.383333,176.857620,-42.811043,178.229874,209.412857,48.373447,166.339951,-176.821793,84.996170,177.293243,203.100555,7.835764,254.118057,89.781158,-6.081940,-0.972413,139.986938,46.236687,155.637375,85.183426,4.623224,1.684589,77.900589,80.273270,138.458740
24,0.400000,176.863098,-42.812748,178.229065,209.412460,48.372005,166.339417,-176.821671,84.996109,177.293060,203.092163,7.793090,254.144104,89.784500,-6.084024,-0.969762,139.986877,46.236641,155.637390,-96.631012,-4.390350,177.861237,77.923447,80.270073,138.418823
25,0.416667,176.867569,-42.825409,178.240280,209.412842,48.371529,166.337585,-176.821594,84.996056,177.292938,203.093140,7.791869,254.145508,89.786667,-6.098398,-0.970793,139.986023,46.239830,155.635544,85.200874,4.614899,1.670835,77.902206,80.273598,138.460571
26,0.433333,176.867294,-42.817020,178.239609,209.411972,48.373432,166.339630,-176.821594,84.996056,177.292938,203.093140,7.791869,254.145508,89.782600,-6.083635,-0.970782,139.987503,46.236279,155.636780,-96.634392,-4.391929,177.858856,77.923531,80.269348,138.417923
27,0.450000,176.855240,-42.826515,178.240463,209.412628,48.371185,166.337479,-176.821381,84.996033,177.292694,203.087875,7.772017,254.152542,89.780731,-6.083284,-0.973310,139.986557,46.236805,155.637543,85.192543,4.619585,1.676692,77.900681,80.273308,138.459808
28,0.466667,176.859695,-42.821388,178.243881,209.411743,48.372807,166.339157,-176.819977,84.995934,177.291245,203.095291,7.813711,254.134872,89.778862,-6.080098,-0.969400,139.987930,46.235249,155.636475,-96.635017,-4.394499,177.859207,77.923508,80.270050,138.417511
