Frame,time,spm_rot_x,spm_rot_y,spm_rot_z,spm_pos_x,spm_pos_y,spm_pos_z,cf_rot_x,cf_rot_y,cf_rot_z,cf_pos_x,cf_pos_y,cf_pos_z
0,0.000000,-0.350226,1.499670,0.624096,133.987473,134.741287,79.407791,-6.678263,-9.528608,-177.183258,131.585022,8.241173,255.447525
1,0.016667,-0.338126,1.494104,0.622551,133.986252,134.739624,79.406624,-6.703128,-9.547627,-177.180527,131.585114,8.239964,255.447800
2,0.033333,-0.356558,1.507184,0.624246,133.987396,134.738113,79.403503,-3.205232,-8.245788,-177.027817,131.631897,8.203256,255.453400
3,0.050000,-0.356861,1.465503,0.632306,133.986435,134.736893,79.399338,-6.693695,-9.539986,-177.115326,131.582504,8.244121,255.444962
4,0.066667,-0.367934,1.486706,0.628590,133.987457,134.738297,79.403046,-6.712582,-9.538395,-177.121078,131.582947,8.244298,255.444855
5,0.083333,-0.376618,1.492655,0.630503,133.986359,134.737473,79.399986,-6.751922,-9.574377,-177.144913,131.582413,8.243756,255.444519
6,0.100000,-0.345777,1.500278,0.625050,133.987610,134.736237,79.399002,-6.790504,-9.568689,-177.139893,131.582886,8.242292,255.444687
7,0.116667,-0.342542,1.463014,0.629995,133.987671,134.736450,79.401131,-3.140075,-8.242739,-177.079468,131.631180,8.201980,255.451752
8,0.133333,-0.362374,1.474436,0.629973,133.987503,134.738571,79.403168,-6.703434,-9.549876,-177.101868,131.582901,8.244465,255.444199
9,0.150000,-0.380341,1.523422,0.618654,133.986801,134.737427,79.400314,-6.558105,-9.518865,-177.207016,131.585175,8.238826,255.447174
10,0.166667,-0.364034,1.491879,0.627298,133.987610,134.738571,79.402908,-6.686666,-9.557633,-177.132339,131.583466,8.242122,255.446045
11,0.183333,-0.345487,1.470436,0.632304,133.987534,134.737869,79.401039,-6.806670,-9.557718,-177.192398,131.583710,8.242365,255.447174
12,0.200000,-0.377095,1.521982,0.625406,133.986465,134.737885,79.400925,-6.708367,-9.543880,-177.204453,131.583832,8.241979,255.446747
13,0.216667,-0.363042,1.472751,0.630476,133.986588,134.738846,79.403145,-6.730272,-9.542846,-177.132034,131.582321,8.243483,255.445023
14,0.233333,-0.381329,1.464507,0.637865,133.985870,134.739334,79.403732,-3.238823,-8.262753,-177.131393,131.633133,8.199611,255.453247
15,0.250000,-0.376501,1.487244,0.631647,133.986542,134.737045,79.400841,-6.713018,-9.536001,-177.129196,131.582779,8.242189,255.446075
16,0.266667,-0.386019,1.489171,0.632376,133.987289,134.738220,79.401085,-6.736827,-9.550539,-177.120499,131.583527,8.243242,255.445511
17,0.283333,-0.370438,1.480292,0.631829,133.986496,134.737686,79.401596,-6.637682,-9.527246,-177.096329,131.583405,8.240441,255.446457
18,0.300000,-0.378280,1.492564,0.628646,133.986618,134.738754,79.402504,-6.728567,-9.556197,-177.149414,131.584122,8.241344,255.446213
19,0.316667,-0.359678,1.476342,0.630141,133.985870,134.737930,79.400497,-6.723530,-9.547212,-177.161667,131.583588,8.242357,255.446075
20,0.333333,-0.376193,1.482212,0.633690,133.987656,134.739975,79.405968,-6.626185,-9.514777,-177.118317,131.583878,8.240685,255.446762
21,0.350000,-0.349079,1.485436,0.627689,133.987518,134.739838,79.404289,-6.724962,-9.540359,-177.071060,131.583450,8.243588,255.446243
22,0.366667,-0.340493,1.471557,0.628493,133.987411,134.738342,79.405357,-6.622331,-9.525150,-177.094650,131.582214,8.244982,255.445786
23,0.383333,-0.333657,1.494669,0.625215,133.986313,134.738693,79.404144,-6.729355,-9.546950,-177.101608,131.582886,8.244101,255.445831
24,0.400000,-0.350532,1.469187,0.632387,133.986481,134.736862,79.399757,-6.682870,-9.546301,-177.128967,131.582672,8.243116,255.445770
25,0.416667,-0.366490,1.481737,0.630682,133.986420,134.737640,79.400459,-6.762074,-9.540750,-177.151566,131.582901,8.243986,255.446762
26,0.433333,-0.364502,1.485270,0.630310,133.986694,134.738708,79.401978,-6.806129,-9.556470,-177.151123,131.582458,8.243649,255.445816
27,0.450000,-0.347486,1.461464,0.632718,133.986404,134.736786,79.399826,-6.788498,-9.576672,-177.135040,131.583755,8.242496,255.446030
28,0.466667,-0.341235,1.470000,0.632003,133.987045,134.738083,79.402451,-6.789634,-9.542848,-177.156601,131.584152,8.241478,255.446442
