Format Version,1.23,Take Name,OneMeterForward_013,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-05-31 10.50.37.064 AM,Capture Start Frame,11580522,Total Frames in Take,1286,Total Exported Frames,1286,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0.583333,-0.027546,-0.000151,0.063060,1.292723,1.349705,1.111782,-1.618631,-31.421175,-5.239035,1.272434,0.073641,2.365040
36,0.600000,-0.028301,-0.000759,0.061279,1.292726,1.349703,1.111785,-1.609227,-31.455145,-5.179906,1.272426,0.073643,2.365038
37,0.616667,0.899876,-4.019791,-179.918777,1.292689,1.349719,1.111811,-2.601120,-31.381977,-5.875125,1.272458,0.073310,2.364928
38,0.633333,-0.033222,-0.000079,0.063151,1.292719,1.349709,1.111778,-2.338344,-31.398466,-5.736845,1.272451,0.073293,2.364915
39,0.650000,-0.029163,0.000581,0.062688,1.292724,1.349704,1.111785,-1.411703,-31.464138,-5.105508,1.272417,0.073616,2.365023
40,0.666667,0.896975,-4.022036,-179.917221,1.292689,1.349723,1.111811,-2.603860,-31.384474,-5.831089,1.272449,0.073271,2.364903
41,0.683333,-0.032445,0.001323,0.064412,1.292723,1.349704,1.111779,-1.425413,-31.606134,-5.137424,1.272619,0.073640,2.365169
42,0.700000,-0.026649,-0.000505,0.063351,1.292727,1.349706,1.111781,-1.414582,-31.603901,-5.111353,1.272619,0.073660,2.365173
43,0.716667,-0.028368,-0.002057,0.061635,1.292719,1.349711,1.111778,-1.310413,-31.639452,-4.978834,1.272623,0.073664,2.365190
44,0.733333,-0.028525,-0.000930,0.062732,1.292721,1.349708,1.111777,0.046722,-31.978161,-4.213345,1.272603,0.074157,2.366070
45,0.750000,-0.027474,-0.001509,0.062807,1.292729,1.349711,1.111786,-1.550340,-31.436701,-5.238012,1.272434,0.073636,2.365037
46,0.766667,-0.029139,-0.002011,0.063596,1.292726,1.349713,1.111782,-2.482571,-31.378275,-5.811095,1.272448,0.073285,2.364921
47,0.783333,-0.030379,-0.001574,0.062734,1.292725,1.349708,1.111781,0.217198,-32.034313,-3.896076,1.272601,0.074136,2.366053
48,0.800000,-0.027357,0.000319,0.064083,1.292731,1.349704,1.111784,-2.372619,-31.419014,-5.687213,1.272442,0.073285,2.364914
49,0.816667,-0.028625,-0.000451,0.064488,1.292721,1.349709,1.111782,-2.542546,-31.400593,-5.759719,1.272462,0.073342,2.364947
50,0.833333,-0.049405,0.019183,0.049954,1.292693,1.349715,1.111809,-2.501345,-31.393534,-5.784678,1.272450,0.073263,2.364903
51,0.850000,-0.027850,0.002141,0.065172,1.292727,1.349705,1.111783,-1.238788,-31.674603,-4.886365,1.272609,0.073630,2.365167
52,0.866667,-0.030051,-0.000181,0.062623,1.292719,1.349700,1.111776,-1.492186,-31.611567,-5.153933,1.272606,0.073632,2.365169
53,0.883333,0.898617,-4.019626,-179.918182,1.292689,1.349716,1.111810,-1.541248,-31.445347,-5.140532,1.272425,0.073641,2.365040
54,0.900000,-0.029144,0.001301,0.063749,1.292723,1.349706,1.111786,-2.254205,-31.399431,-5.780476,1.272438,0.073273,2.364917
55,0.916667,0.910462,-4.008837,-179.926010,1.292675,1.349697,1.111788,-0.000687,-31.974316,-4.228716,1.272591,0.074122,2.366049
56,0.933333,0.900030,-4.020790,-179.916672,1.292686,1.349720,1.111812,-1.581624,-31.425541,-5.173878,1.272426,0.073655,2.365043
57,0.950000,-0.024799,-0.000571,0.062771,1.292724,1.349706,1.111788,-1.459273,-31.479980,-5.029287,1.272418,0.073614,2.365028
58,0.966667,-0.027723,-0.001992,0.063870,1.292720,1.349709,1.111780,-2.464824,-31.415295,-5.743155,1.272442,0.073265,2.364907
59,0.983333,0.900995,-4.022116,-179.918198,1.292686,1.349720,1.111811,-2.491900,-31.394962,-5.798676,1.272443,0.073255,2.364899
60,1.000000,-0.028496,-0.000117,0.062471,1.292723,1.349704,1.111781,-2.299112,-31.402052,-5.721403,1.272437,0.073231,2.364886
61,1.016667,-0.029474,0.000369,0.063961,1.292716,1.349704,1.111779,-2.427047,-31.402515,-5.753808,1.272448,0.073281,2.364917
62,1.033333,-0.027000,-0.002222,0.064763,1.292723,1.349703,1.111774,-1.388919,-31.471069,-5.105608,1.272423,0.073606,2.365027
63,1.050000,-0.025433,0.002105,0.062899,1.292731,1.349707,1.111784,-2.502607,-31.402498,-5.784285,1.272434,0.073254,2.364894
64,1.066667,-0.029109,-0.001243,0.062485,1.292722,1.349703,1.111775,-1.501370,-31.440092,-5.122406,1.272432,0.073612,2.365032
65,1.083333,-0.029368,-0.002437,0.065800,1.292724,1.349706,1.111780,-2.553963,-31.392229,-5.761099,1.272439,0.073276,2.364917
66,1.100000,-0.026993,-0.000291,0.063204,1.292733,1.349708,1.111791,-2.490866,-31.409018,-5.736304,1.272442,0.073277,2.364919
67,1.116667,-0.047479,0.017176,0.048850,1.292694,1.349718,1.111810,-2.449010,-31.411121,-5.741661,1.272451,0.073297,2.364924
68,1.133333,-0.031651,-0.000274,0.061034,1.292725,1.349704,1.111782,-2.607003,-31.368050,-5.923574,1.272451,0.073290,2.364913
69,1.150000,-0.026149,-0.001434,0.064055,1.292730,1.349707,1.111789,-2.544493,-31.387476,-5.790086,1.272445,0.073305,2.364932
70,1.166667,0.899164,-4.022727,-179.917786,1.292696,1.349717,1.111811,-1.523322,-31.454363,-5.100420,1.272431,0.073627,2.365039
71,1.183333,-0.031685,-0.003337,0.065774,1.292722,1.349702,1.111778,-2.528705,-31.391308,-5.812728,1.272453,0.073319,2.364935
72,1.200000,-0.028287,0.000051,0.064497,1.292728,1.349709,1.111792,-2.437640,-31.421515,-5.736906,1.272447,0.073277,2.364913
73,1.216667,-0.031392,-0.000984,0.064694,1.292720,1.349706,1.111779,-1.506568,-31.610966,-5.150671,1.272617,0.073640,2.365169
74,1.233333,-0.032714,-0.001982,0.065164,1.292722,1.349702,1.111782,-0.010603,-31.972509,-4.192003,1.272599,0.074156,2.366069
75,1.250000,-0.028202,0.001844,0.060893,1.292725,1.349707,1.111788,-1.572230,-31.440037,-5.213403,1.272414,0.073617,2.365024
76,1.266667,-0.022159,0.004585,0.074569,1.292736,1.349716,1.111774,-0.052255,-31.985355,-4.182420,1.272599,0.074161,2.366076
77,1.283333,-0.030492,0.000830,0.062274,1.292720,1.349705,1.111781,-2.588330,-31.386877,-5.767792,1.272448,0.073279,2.364914
78,1.300000,-0.028247,0.001689,0.063803,1.292732,1.349703,1.111790,-1.316622,-31.627092,-5.092302,1.272622,0.073675,2.365190
79,1.316667,-0.028213,0.001210,0.061853,1.292723,1.349709,1.111785,-1.452887,-31.643513,-5.021271,1.272611,0.073606,2.365164
80,1.333333,-0.029739,0.000258,0.064834,1.292726,1.349708,1.111784,-0.057790,-31.983871,-4.133708,1.272600,0.074135,2.366055
81,1.350000,-0.043925,0.017350,0.050531,1.292701,1.349719,1.111815,-2.608397,-31.395634,-5.790674,1.272443,0.073252,2.364895
82,1.366667,-0.051302,0.020129,0.048964,1.292692,1.349716,1.111806,-1.560981,-31.433603,-5.176318,1.272420,0.073617,2.365031
83,1.383333,-0.033478,0.000035,0.063391,1.292725,1.349704,1.111779,-1.020771,-31.690983,-4.800353,1.272608,0.073610,2.365165
84,1.400000,-0.028639,0.000901,0.064471,1.292733,1.349703,1.111781,-0.070228,-31.994215,-4.172287,1.272593,0.074137,2.366058
85,1.416667,-0.029445,-0.001257,0.063929,1.292725,1.349704,1.111777,-1.372802,-31.619026,-5.067214,1.272613,0.073643,2.365180
86,1.433333,-0.023247,0.008253,0.071602,1.292741,1.349717,1.111766,-1.424355,-31.448090,-5.113457,1.272418,0.073600,2.365025
87,1.450000,-0.027068,-0.000748,0.061542,1.292730,1.349711,1.111787,-2.361694,-31.430653,-5.675443,1.272439,0.073293,2.364930
88,1.466667,-0.031674,-0.000670,0.063157,1.292724,1.349709,1.111783,-2.378269,-31.421434,-5.665715,1.272446,0.073284,2.364917
89,1.483333,0.898191,-4.021174,-179.916183,1.292690,1.349721,1.111811,-2.412268,-31.386236,-5.782484,1.272439,0.073258,2.364909
90,1.500000,-0.026113,-0.000820,0.062010,1.292733,1.349703,1.111785,-2.436466,-31.410166,-5.753598,1.272433,0.073270,2.364909
91,1.516667,0.906704,-4.014670,-179.909332,1.292712,1.349732,1.111798,-1.460365,-31.633150,-5.053445,1.272609,0.073626,2.365163
92,1.533333,-0.031664,0.000864,0.063513,1.292721,1.349703,1.111778,-1.454829,-31.456461,-5.081849,1.272422,0.073627,2.365033
93,1.550000,-0.027148,-0.000755,0.062139,1.292721,1.349706,1.111786,-1.392085,-31.601673,-5.163199,1.272605,0.073622,2.365157
94,1.566667,-0.047699,0.017249,0.049383,1.292686,1.349717,1.111811,-2.262738,-31.432838,-5.642140,1.272436,0.073234,2.364889
95,1.583333,-0.029717,-0.003497,0.064170,1.292714,1.349705,1.111783,-2.266313,-31.410763,-5.634652,1.272433,0.073237,2.364887
96,1.600000,-0.027927,-0.003173,0.064227,1.292721,1.349708,1.111789,-2.538810,-31.408489,-5.815885,1.272435,0.073263,2.364900
97,1.616667,-0.029269,-0.002968,0.064613,1.292717,1.349703,1.111786,-2.486483,-31.400326,-5.755339,1.272437,0.073256,2.364904
98,1.633333,-0.029993,-0.000545,0.063510,1.292715,1.349701,1.111786,-2.218667,-31.452259,-5.547402,1.272433,0.073271,2.364915
99,1.650000,-0.015053,0.010536,0.054093,1.292720,1.349691,1.111772,-2.379813,-31.439846,-5.654247,1.272431,0.073256,2.364904
100,1.666667,-0.028692,-0.001354,0.064097,1.292720,1.349702,1.111786,0.038709,-32.001160,-4.086580,1.272590,0.074137,2.366056
101,1.683333,-0.030590,-0.003977,0.066915,1.292724,1.349707,1.111784,-2.490052,-31.411255,-5.754115,1.272445,0.073300,2.364933
102,1.700000,-0.026634,-0.001164,0.063478,1.292732,1.349716,1.111796,-0.012744,-31.988214,-4.151244,1.272589,0.074132,2.366052
