Format Version,1.23,Take Name,Take 2023-06-01 10.47.29 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-06-01 10.47.30.167 AM,Capture Start Frame,117940,Total Frames in Take,1865,Total Exported Frames,1865,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
57,0.950000,-0.349258,1.471878,0.634936,133.980347,134.715698,79.364822,,,,,,
58,0.966667,-0.341345,1.489894,0.628622,133.980988,134.717087,79.370628,,,,,,
59,0.983333,-0.362621,1.488108,0.626960,133.981750,134.718506,79.371140,,,,,,
60,1.000000,-0.340384,1.468452,0.631177,133.979828,134.714615,79.363159,,,,,,
61,1.016667,-0.345780,1.475798,0.632538,133.980225,134.715790,79.364380,,,,,,
62,1.033333,-0.380122,1.495655,0.628036,133.981339,134.719315,79.370705,,,,,,
63,1.050000,-0.339592,1.478229,0.628584,133.980209,134.716003,79.367188,,,,,,
64,1.066667,-0.338747,1.479726,0.628223,133.980484,134.716553,79.364265,,,,,,
65,1.083333,-0.344245,1.489692,0.628458,133.979828,134.715134,79.363480,,,,,,
66,1.100000,-0.368165,1.482577,0.629551,133.981125,134.715195,79.365189,,,,,,
67,1.116667,-0.370643,1.510819,0.623743,133.981079,134.717148,79.368240,,,,,,
68,1.133333,-0.329354,1.503576,0.622347,133.980621,134.715515,79.365021,,,,,,
69,1.150000,-0.357880,1.454246,0.636042,133.981476,134.717010,79.369965,,,,,,
70,1.166667,-0.350885,1.482367,0.631899,133.980530,134.718094,79.369827,,,,,,
71,1.183333,-0.350008,1.532544,0.618874,133.981766,134.718460,79.372231,,,,,,
72,1.200000,-0.378277,1.488111,0.629918,133.981857,134.718292,79.371986,,,,,,
73,1.216667,-0.390923,1.503180,0.629591,133.981842,134.717270,79.370132,,,,,,
74,1.233333,-0.376772,1.487715,0.630021,133.981491,134.719116,79.372635,,,,,,
75,1.250000,-0.361597,1.473166,0.632900,133.981461,134.716705,79.368935,,,,,,
76,1.266667,-0.375170,1.512952,0.626075,133.981339,134.718277,79.371956,,,,,,
77,1.283333,-0.361661,1.505217,0.624159,133.980606,134.715988,79.366211,,,,,,
78,1.300000,-0.354704,1.502795,0.626170,133.980606,134.716965,79.370483,,,,,,
79,1.316667,-0.352189,1.488124,0.628757,133.982544,134.720154,79.374718,,,,,,
80,1.333333,-0.372189,1.469731,0.635361,133.981369,134.718903,79.371223,,,,,,
