frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
22,0.366667,-1.276800,-54.738571,-0.013926,182.844131,50.172638,294.425873,176.045013,8.493317,-178.652466,75.988052,7.098019,225.335220,88.096695,-5.786820,-9.193529,103.469620,45.854465,155.430893,92.341095,-2.897144,-84.899155,11.564999,64.420494,221.431473
23,0.383333,-1.236694,-54.710770,0.036810,182.842331,50.174595,294.420563,176.044983,8.493326,-178.652496,75.989326,7.096386,225.335312,88.112862,-5.780998,-9.165373,103.470818,45.858604,155.434113,-87.513863,2.324152,-93.973259,11.288412,64.442192,221.375519
24,0.400000,-1.226290,-54.743603,0.016118,182.841125,50.167076,294.428711,176.044952,8.493336,-178.652512,75.989204,7.094729,225.335938,88.142998,-5.810765,-9.205657,103.467926,45.852123,155.428696,92.342400,-2.946929,-84.834610,11.572437,64.419952,221.431976
25,0.416667,-1.441309,-54.665981,-0.128252,182.853745,50.183575,294.423126,176.044937,8.493345,-178.652527,75.989777,7.098174,225.335358,88.099884,-5.778804,-9.178775,103.470024,45.855152,155.431381,-87.512589,2.325922,-93.956825,11.285833,64.441345,221.374771
26,0.433333,-1.434455,-54.667198,-0.120465,182.853943,50.183052,294.422974,176.044907,8.493358,-178.652542,75.988922,7.095599,225.335434,88.374107,4.537040,170.746292,103.369522,45.844311,155.532455,92.342232,-2.916399,-84.874550,11.568340,64.420792,221.432785
27,0.450000,-1.217320,-54.717785,0.058103,182.840866,50.173306,294.422455,176.044876,8.493367,-178.652557,75.987923,7.093585,225.336380,88.142883,-5.809445,-9.201667,103.467987,45.852974,155.429932,-87.513977,2.337061,-93.962692,11.283932,64.440277,221.376007
28,0.466667,-1.438354,-54.667458,-0.128539,182.853821,50.181698,294.423065,176.044846,8.493378,-178.652588,75.989082,7.095087,225.336975,88.398026,4.504850,170.824417,103.377625,45.846924,155.540665,92.344658,-2.892730,-84.908524,11.563456,64.420441,221.431824
29,0.483333,-1.373860,-54.641796,-0.054892,182.852768,50.184555,294.416534,176.044815,8.493389,-178.652603,75.990044,7.098055,225.336151,88.118942,-5.792807,-9.174427,103.469719,45.854877,155.430969,-87.508942,2.340643,-93.955910,11.284101,64.442116,221.374207
30,0.500000,-1.276958,-54.745728,-0.000560,182.841522,50.171364,294.428528,176.044815,8.493404,-178.652634,75.989319,7.095861,225.335663,88.442924,-6.024014,-8.876521,103.422272,45.878319,155.384308,92.345886,-2.953866,-84.831268,11.575070,64.420769,221.432083
31,0.516667,-1.455652,-54.677654,-0.131693,182.852631,50.182362,294.424805,176.044785,8.493416,-178.652664,75.987976,7.097781,225.335785,88.413757,-5.981960,-8.837445,103.425064,45.881699,155.386871,-87.506302,2.365131,-93.938560,11.280971,64.440849,221.374298
32,0.533333,-1.367333,-54.637714,-0.053722,182.853500,50.183922,294.417084,176.044754,8.493428,-178.652664,75.989601,7.096291,225.334885,88.129234,-5.804202,-9.195304,103.469833,45.857601,155.432159,92.348984,-2.938310,-84.839630,11.573030,64.421959,221.431381
